"Juvenile Intake Cases by Ethnicity, FY 2018-2020*",,,,,,,,,,,,,,,,,,
CSU,FIPS,ETHNICITY,FY18 %,FY19 %,FY20 %,FY18 #,FY19 #,FY20 #,,,,,,,,,,
9,101,Hispanic,0.0%,2.1%,0.0%,0,1,0,,,,,,,,,,
9,101,Non-Hispanic,6.8%,8.5%,29.7%,4,4,11,,,,,,,,,,
9,101,Unknown/Missing,93.2%,89.4%,70.3%,55,42,26,,,,,,,,,,
9,115,Hispanic,1.4%,0.0%,6.3%,1,0,1,,,,,,,,,,
9,115,Non-Hispanic,7.1%,12.2%,43.8%,5,6,7,,,,,,,,,,
9,115,Unknown/Missing,91.4%,87.8%,50.0%,64,43,8,,,,,,,,,,
9,119,Hispanic,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,
9,119,Non-Hispanic,8.9%,36.6%,61.5%,5,15,8,,,,,,,,,,
9,119,Unknown/Missing,91.1%,63.4%,38.5%,51,26,5,,,,,,,,,,
9,127,Hispanic,1.3%,0.9%,0.7%,1,1,1,,,,,,,,,,
9,127,Non-Hispanic,21.8%,37.7%,87.1%,17,40,121,,,,,,,,,,
9,127,Unknown/Missing,76.9%,61.3%,12.2%,60,65,17,,,,,,,,,,
9,199,Hispanic,6.2%,4.8%,7.1%,13,8,11,,,,,,,,,,
9,199,Non-Hispanic,12.9%,26.9%,36.1%,27,45,56,,,,,,,,,,
9,199,Unknown/Missing,80.9%,68.3%,56.8%,169,114,88,,,,,,,,,,
9,735,Hispanic,3.7%,0.0%,0.0%,2,0,0,,,,,,,,,,
9,735,Non-Hispanic,24.1%,35.2%,38.9%,13,19,7,,,,,,,,,,
9,735,Unknown/Missing,72.2%,64.8%,61.1%,39,35,11,,,,,,,,,,
9,830,Hispanic,7.9%,10.6%,11.5%,5,5,3,,,,,,,,,,
9,830,Non-Hispanic,14.3%,40.4%,42.3%,9,19,11,,,,,,,,,,
9,830,Unknown/Missing,77.8%,48.9%,46.2%,49,23,12,,,,,,,,,,
10,011,Hispanic,2.1%,4.9%,3.1%,3,5,2,,,,,,,,,,
10,011,Non-Hispanic,9.9%,21.4%,60.9%,14,22,39,,,,,,,,,,
10,011,Unknown/Missing,88.0%,73.8%,35.9%,125,76,23,,,,,,,,,,
10,029,Hispanic,0.0%,1.6%,2.9%,0,1,1,,,,,,,,,,
10,029,Non-Hispanic,14.5%,37.5%,82.9%,9,24,29,,,,,,,,,,
10,029,Unknown/Missing,85.5%,60.9%,14.3%,53,39,5,,,,,,,,,,
10,037,Hispanic,5.1%,0.0%,0.0%,2,0,0,,,,,,,,,,
10,037,Non-Hispanic,0.0%,8.3%,17.6%,0,3,3,,,,,,,,,,
10,037,Unknown/Missing,94.9%,91.7%,82.4%,37,33,14,,,,,,,,,,
10,049,Hispanic,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,
10,049,Non-Hispanic,8.8%,20.0%,72.0%,3,4,18,,,,,,,,,,
10,049,Unknown/Missing,91.2%,80.0%,28.0%,31,16,7,,,,,,,,,,
10,083,Hispanic,1.2%,4.9%,0.7%,2,6,1,,,,,,,,,,
10,083,Non-Hispanic,94.1%,79.7%,44.3%,159,98,66,,,,,,,,,,
10,083,Unknown/Missing,4.7%,15.4%,55.0%,8,19,82,,,,,,,,,,
10,111,Hispanic,2.7%,5.6%,5.6%,2,6,5,,,,,,,,,,
10,111,Non-Hispanic,33.8%,25.9%,79.8%,25,28,71,,,,,,,,,,
10,111,Unknown/Missing,63.5%,68.5%,14.6%,47,74,13,,,,,,,,,,
10,117,Hispanic,0.0%,3.4%,0.0%,0,5,0,,,,,,,,,,
10,117,Non-Hispanic,21.4%,16.4%,30.3%,21,24,27,,,,,,,,,,
10,117,Unknown/Missing,78.6%,80.1%,69.7%,77,117,62,,,,,,,,,,
10,147,Hispanic,3.2%,9.2%,2.1%,4,7,1,,,,,,,,,,
10,147,Non-Hispanic,33.1%,25.0%,39.6%,41,19,19,,,,,,,,,,
10,147,Unknown/Missing,63.7%,65.8%,58.3%,79,50,28,,,,,,,,,,
11,007,Hispanic,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,
11,007,Non-Hispanic,15.4%,25.0%,35.7%,6,11,10,,,,,,,,,,
11,007,Unknown/Missing,84.6%,75.0%,64.3%,33,33,18,,,,,,,,,,
11,053,Hispanic,0.0%,0.0%,7.1%,0,0,4,,,,,,,,,,
11,053,Non-Hispanic,25.3%,23.3%,71.4%,22,20,40,,,,,,,,,,
11,053,Unknown/Missing,74.7%,76.7%,21.4%,65,66,12,,,,,,,,,,
11,135,Hispanic,1.3%,1.7%,0.0%,1,1,0,,,,,,,,,,
11,135,Non-Hispanic,15.4%,27.1%,84.2%,12,16,32,,,,,,,,,,
11,135,Unknown/Missing,83.3%,71.2%,15.8%,65,42,6,,,,,,,,,,
11,145,Hispanic,1.2%,2.0%,0.0%,1,1,0,,,,,,,,,,
11,145,Non-Hispanic,16.0%,22.0%,53.3%,13,11,32,,,,,,,,,,
11,145,Unknown/Missing,82.7%,76.0%,46.7%,67,38,28,,,,,,,,,,
11,730,Hispanic,5.7%,2.9%,5.7%,30,13,19,,,,,,,,,,
11,730,Non-Hispanic,22.6%,34.5%,71.0%,119,155,235,,,,,,,,,,
11,730,Unknown/Missing,71.7%,62.6%,23.3%,377,281,77,,,,,,,,,,
12,041,Hispanic,7.7%,6.6%,8.1%,151,111,115,,,,,,,,,,
12,041,Non-Hispanic,26.5%,29.1%,27.0%,519,490,384,,,,,,,,,,
12,041,Unknown/Missing,65.9%,64.3%,64.9%,"1,292","1,083",924,,,,,,,,,,
12,570,Hispanic,1.9%,5.8%,2.4%,4,13,5,,,,,,,,,,
12,570,Non-Hispanic,18.8%,14.2%,15.9%,39,32,33,,,,,,,,,,
12,570,Unknown/Missing,79.2%,80.0%,81.7%,164,180,170,,,,,,,,,,
13,760,Hispanic,4.9%,6.8%,8.3%,52,73,66,,,,,,,,,,
13,760,Non-Hispanic,78.8%,84.2%,86.5%,842,904,688,,,,,,,,,,
13,760,Unknown/Missing,16.3%,9.0%,5.2%,174,97,41,,,,,,,,,,
