"Juvenile Intake Cases by Ethnicity, FY 2018-2020*",,,,,,,,,,,,,,,,,,
CSU,FIPS,ETHNICITY,FY18 %,FY19 %,FY20 %,FY18 #,FY19 #,FY20 #,,,,,,,,,,
26,139,Non-Hispanic,23.0%,28.8%,90.7%,40,32,98,,,,,,,,,,
26,139,Unknown/Missing,74.7%,68.5%,8.3%,130,76,9,,,,,,,,,,
26,165,Hispanic,11.2%,8.7%,10.9%,35,21,20,,,,,,,,,,
26,165,Non-Hispanic,15.7%,32.2%,75.5%,49,78,139,,,,,,,,,,
26,165,Unknown/Missing,73.2%,59.1%,13.6%,229,143,25,,,,,,,,,,
26,171,Hispanic,9.4%,10.2%,11.2%,34,39,43,,,,,,,,,,
26,171,Non-Hispanic,21.1%,32.0%,73.4%,76,123,282,,,,,,,,,,
26,171,Unknown/Missing,69.4%,57.8%,15.4%,250,222,59,,,,,,,,,,
26,187,Hispanic,1.9%,4.3%,7.3%,4,12,12,,,,,,,,,,
26,187,Non-Hispanic,17.8%,40.7%,60.6%,37,114,100,,,,,,,,,,
26,187,Unknown/Missing,80.3%,55.0%,32.1%,167,154,53,,,,,,,,,,
26,660,Hispanic,34.6%,41.1%,36.8%,73,95,56,,,,,,,,,,
26,660,Non-Hispanic,14.7%,19.5%,56.6%,31,45,86,,,,,,,,,,
26,660,Unknown/Missing,50.7%,39.4%,6.6%,107,91,10,,,,,,,,,,
26,840,Hispanic,21.1%,21.8%,15.9%,49,45,25,,,,,,,,,,
26,840,Non-Hispanic,15.1%,15.5%,30.6%,35,32,48,,,,,,,,,,
26,840,Unknown/Missing,63.8%,62.6%,53.5%,148,129,84,,,,,,,,,,
27,021,Hispanic,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,
27,021,Non-Hispanic,33.3%,38.9%,47.1%,2,14,8,,,,,,,,,,
27,021,Unknown/Missing,66.7%,61.1%,52.9%,4,22,9,,,,,,,,,,
27,035,Hispanic,3.6%,6.4%,12.8%,6,10,12,,,,,,,,,,
27,035,Non-Hispanic,24.9%,32.1%,62.8%,42,50,59,,,,,,,,,,
27,035,Unknown/Missing,71.6%,61.5%,24.5%,121,96,23,,,,,,,,,,
27,063,Hispanic,0.0%,1.8%,0.0%,0,1,0,,,,,,,,,,
27,063,Non-Hispanic,17.4%,21.1%,96.1%,8,12,49,,,,,,,,,,
27,063,Unknown/Missing,82.6%,77.2%,3.9%,38,44,2,,,,,,,,,,
27,071,Hispanic,1.3%,1.3%,0.0%,1,1,0,,,,,,,,,,
27,071,Non-Hispanic,67.1%,37.2%,78.0%,51,29,32,,,,,,,,,,
27,071,Unknown/Missing,31.6%,61.5%,22.0%,24,48,9,,,,,,,,,,
27,077,Hispanic,1.2%,2.9%,2.9%,1,1,1,,,,,,,,,,
27,077,Non-Hispanic,33.3%,40.0%,70.6%,27,14,24,,,,,,,,,,
27,077,Unknown/Missing,65.4%,57.1%,26.5%,53,20,9,,,,,,,,,,
27,121,Hispanic,1.6%,1.2%,1.5%,4,3,3,,,,,,,,,,
27,121,Non-Hispanic,27.6%,37.6%,78.4%,69,97,160,,,,,,,,,,
27,121,Unknown/Missing,70.8%,61.2%,20.1%,177,158,41,,,,,,,,,,
27,155,Hispanic,2.5%,4.0%,1.3%,5,8,2,,,,,,,,,,
27,155,Non-Hispanic,96.0%,92.0%,73.9%,190,183,113,,,,,,,,,,
27,155,Unknown/Missing,1.5%,4.0%,24.8%,3,8,38,,,,,,,,,,
27,197,Hispanic,2.3%,1.2%,1.6%,5,2,2,,,,,,,,,,
27,197,Non-Hispanic,92.6%,75.3%,64.3%,200,125,83,,,,,,,,,,
27,197,Unknown/Missing,5.1%,23.5%,34.1%,11,39,44,,,,,,,,,,
27,640,Hispanic,13.3%,17.1%,27.0%,12,12,10,,,,,,,,,,
27,640,Non-Hispanic,30.0%,40.0%,43.2%,27,28,16,,,,,,,,,,
27,640,Unknown/Missing,56.7%,42.9%,29.7%,51,30,11,,,,,,,,,,
27,750,Hispanic,1.2%,0.0%,0.0%,1,0,0,,,,,,,,,,
27,750,Non-Hispanic,44.7%,90.3%,81.8%,38,65,27,,,,,,,,,,
27,750,Unknown/Missing,54.1%,9.7%,18.2%,46,7,6,,,,,,,,,,
28,173,Hispanic,1.9%,0.6%,4.3%,3,1,5,,,,,,,,,,
28,173,Non-Hispanic,88.4%,87.7%,94.9%,137,135,111,,,,,,,,,,
28,173,Unknown/Missing,9.7%,11.7%,0.9%,15,18,1,,,,,,,,,,
28,191,Hispanic,7.3%,3.5%,1.7%,14,5,2,,,,,,,,,,
28,191,Non-Hispanic,57.8%,68.5%,63.5%,111,98,73,,,,,,,,,,
28,191,Unknown/Missing,34.9%,28.0%,34.8%,67,40,40,,,,,,,,,,
28,520,Hispanic,0.0%,0.8%,1.9%,0,1,2,,,,,,,,,,
28,520,Non-Hispanic,55.1%,32.0%,61.0%,59,41,64,,,,,,,,,,
28,520,Unknown/Missing,44.9%,67.2%,37.1%,48,86,39,,,,,,,,,,
29,027,Hispanic,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,
29,027,Non-Hispanic,22.7%,25.6%,61.7%,27,34,50,,,,,,,,,,
29,027,Unknown/Missing,77.3%,74.4%,38.3%,92,99,31,,,,,,,,,,
29,051,Hispanic,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,
29,051,Non-Hispanic,25.4%,21.8%,82.8%,30,22,106,,,,,,,,,,
29,051,Unknown/Missing,74.6%,78.2%,17.2%,88,79,22,,,,,,,,,,
29,167,Hispanic,0.8%,0.0%,1.0%,1,0,1,,,,,,,,,,
29,167,Non-Hispanic,23.5%,32.6%,83.5%,31,30,81,,,,,,,,,,
29,167,Unknown/Missing,75.8%,67.4%,15.5%,100,62,15,,,,,,,,,,
29,185,Hispanic,0.4%,0.5%,3.3%,1,1,6,,,,,,,,,,
29,185,Non-Hispanic,30.8%,42.9%,91.2%,74,85,166,,,,,,,,,,
29,185,Unknown/Missing,68.8%,56.6%,5.5%,165,112,10,,,,,,,,,,
30,105,Hispanic,1.0%,1.5%,1.0%,2,3,1,,,,,,,,,,
30,105,Non-Hispanic,17.7%,29.5%,68.6%,34,59,70,,,,,,,,,,
30,105,Unknown/Missing,81.3%,69.0%,30.4%,156,138,31,,,,,,,,,,
30,169,Hispanic,2.5%,0.8%,0.0%,3,1,0,,,,,,,,,,
30,169,Non-Hispanic,18.3%,15.3%,49.4%,22,19,38,,,,,,,,,,
30,169,Unknown/Missing,79.2%,83.9%,50.6%,95,104,39,,,,,,,,,,
30,195,Hispanic,1.5%,0.0%,0.4%,4,0,1,,,,,,,,,,
30,195,Non-Hispanic,51.5%,58.0%,45.8%,140,138,110,,,,,,,,,,
30,195,Unknown/Missing,47.1%,42.0%,53.8%,128,100,129,,,,,,,,,,
30,720,Hispanic,2.2%,0.0%,2.8%,1,0,1,,,,,,,,,,
30,720,Non-Hispanic,52.2%,58.7%,47.2%,24,27,17,,,,,,,,,,
30,720,Unknown/Missing,45.7%,41.3%,50.0%,21,19,18,,,,,,,,,,
31,153,Hispanic,30.1%,27.6%,28.7%,615,588,524,,,,,,,,,,
31,153,Non-Hispanic,18.6%,20.6%,37.0%,379,439,676,,,,,,,,,,
31,153,Unknown/Missing,51.3%,51.8%,34.2%,"1,046","1,102",625,,,,,,,,,,
31,683,Hispanic,55.4%,63.1%,59.2%,154,212,180,,,,,,,,,,
31,683,Non-Hispanic,21.9%,11.6%,15.5%,61,39,47,,,,,,,,,,
31,683,Unknown/Missing,22.7%,25.3%,25.3%,63,85,77,,,,,,,,,,
31,685,Hispanic,50.0%,44.7%,56.8%,39,34,50,,,,,,,,,,
31,685,Non-Hispanic,12.8%,10.5%,21.6%,10,8,19,,,,,,,,,,
31,685,Unknown/Missing,37.2%,44.7%,21.6%,29,34,19,,,,,,,,,,
