"Juvenile Intake Cases by Race, FY 2018-2020*",,,,,,,,,,,,,,,,,,,,,
CSU,FIPS,RACE,FY18 %,FY19 %,FY20 %,FY18 #,FY19 #,FY20 #,,,,,,,,,,,,,
7,700,Other/Unknown,6.5%,7.3%,10.4%,95,97,128,,,,,,,,,,,,,
8,650,Asian,0.7%,0.2%,0.3%,7,2,2,,,,,,,,,,,,,
8,650,Black,74.8%,73.8%,79.5%,778,680,499,,,,,,,,,,,,,
8,650,White,14.6%,13.6%,11.3%,152,125,71,,,,,,,,,,,,,
8,650,Other/Unknown,9.9%,12.5%,8.9%,103,115,56,,,,,,,,,,,,,
9,036,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
9,036,Black,41.7%,80.0%,9.1%,5,4,1,,,,,,,,,,,,,
9,036,White,50.0%,20.0%,90.9%,6,1,10,,,,,,,,,,,,,
9,036,Other/Unknown,8.3%,0.0%,0.0%,1,0,0,,,,,,,,,,,,,
9,073,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
9,073,Black,9.8%,12.7%,10.0%,15,10,10,,,,,,,,,,,,,
9,073,White,83.0%,79.7%,78.0%,127,63,78,,,,,,,,,,,,,
9,073,Other/Unknown,7.2%,7.6%,12.0%,11,6,12,,,,,,,,,,,,,
9,095,Asian,0.0%,0.3%,0.4%,0,1,1,,,,,,,,,,,,,
9,095,Black,40.3%,40.1%,39.9%,98,117,95,,,,,,,,,,,,,
9,095,White,51.9%,53.1%,52.1%,126,155,124,,,,,,,,,,,,,
9,095,Other/Unknown,7.8%,6.5%,7.6%,19,19,18,,,,,,,,,,,,,
9,097,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
9,097,Black,25.9%,50.0%,66.7%,7,7,12,,,,,,,,,,,,,
9,097,White,70.4%,21.4%,27.8%,19,3,5,,,,,,,,,,,,,
9,097,Other/Unknown,3.7%,28.6%,5.6%,1,4,1,,,,,,,,,,,,,
9,101,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
9,101,Black,25.4%,31.9%,32.4%,15,15,12,,,,,,,,,,,,,
9,101,White,71.2%,59.6%,56.8%,42,28,21,,,,,,,,,,,,,
9,101,Other/Unknown,3.4%,8.5%,10.8%,2,4,4,,,,,,,,,,,,,
9,115,Asian,0.0%,0.0%,6.3%,0,0,1,,,,,,,,,,,,,
9,115,Black,11.4%,10.2%,18.8%,8,5,3,,,,,,,,,,,,,
9,115,White,75.7%,79.6%,68.8%,53,39,11,,,,,,,,,,,,,
9,115,Other/Unknown,12.9%,10.2%,6.3%,9,5,1,,,,,,,,,,,,,
9,119,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
9,119,Black,23.2%,29.3%,0.0%,13,12,0,,,,,,,,,,,,,
9,119,White,75.0%,61.0%,84.6%,42,25,11,,,,,,,,,,,,,
9,119,Other/Unknown,1.8%,9.8%,15.4%,1,4,2,,,,,,,,,,,,,
9,127,Asian,0.0%,1.9%,0.0%,0,2,0,,,,,,,,,,,,,
9,127,Black,19.2%,25.5%,25.2%,15,27,35,,,,,,,,,,,,,
9,127,White,74.4%,67.9%,70.5%,58,72,98,,,,,,,,,,,,,
9,127,Other/Unknown,6.4%,4.7%,4.3%,5,5,6,,,,,,,,,,,,,
9,199,Asian,1.0%,1.8%,0.6%,2,3,1,,,,,,,,,,,,,
9,199,Black,27.8%,31.7%,32.3%,58,53,50,,,,,,,,,,,,,
9,199,White,65.6%,62.3%,62.6%,137,104,97,,,,,,,,,,,,,
9,199,Other/Unknown,5.7%,4.2%,4.5%,12,7,7,,,,,,,,,,,,,
9,735,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
9,735,Black,9.3%,13.0%,5.6%,5,7,1,,,,,,,,,,,,,
9,735,White,85.2%,87.0%,94.4%,46,47,17,,,,,,,,,,,,,
9,735,Other/Unknown,5.6%,0.0%,0.0%,3,0,0,,,,,,,,,,,,,
9,830,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
9,830,Black,50.8%,66.0%,53.8%,32,31,14,,,,,,,,,,,,,
9,830,White,34.9%,34.0%,46.2%,22,16,12,,,,,,,,,,,,,
9,830,Other/Unknown,14.3%,0.0%,0.0%,9,0,0,,,,,,,,,,,,,
10,011,Asian,1.4%,1.0%,0.0%,2,1,0,,,,,,,,,,,,,
10,011,Black,35.2%,37.9%,42.2%,50,39,27,,,,,,,,,,,,,
10,011,White,57.0%,49.5%,51.6%,81,51,33,,,,,,,,,,,,,
10,011,Other/Unknown,6.3%,11.7%,6.3%,9,12,4,,,,,,,,,,,,,
10,029,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
10,029,Black,35.5%,48.4%,54.3%,22,31,19,,,,,,,,,,,,,
10,029,White,41.9%,35.9%,34.3%,26,23,12,,,,,,,,,,,,,
10,029,Other/Unknown,22.6%,15.6%,11.4%,14,10,4,,,,,,,,,,,,,
10,037,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
10,037,Black,35.9%,36.1%,17.6%,14,13,3,,,,,,,,,,,,,
10,037,White,61.5%,58.3%,64.7%,24,21,11,,,,,,,,,,,,,
10,037,Other/Unknown,2.6%,5.6%,17.6%,1,2,3,,,,,,,,,,,,,
10,049,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
10,049,Black,17.6%,35.0%,40.0%,6,7,10,,,,,,,,,,,,,
10,049,White,70.6%,60.0%,56.0%,24,12,14,,,,,,,,,,,,,
10,049,Other/Unknown,11.8%,5.0%,4.0%,4,1,1,,,,,,,,,,,,,
10,083,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
10,083,Black,58.0%,60.2%,30.2%,98,74,45,,,,,,,,,,,,,
10,083,White,37.3%,26.0%,28.9%,63,32,43,,,,,,,,,,,,,
10,083,Other/Unknown,4.7%,13.8%,40.9%,8,17,61,,,,,,,,,,,,,
10,111,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
10,111,Black,44.6%,42.6%,31.5%,33,46,28,,,,,,,,,,,,,
10,111,White,40.5%,38.9%,48.3%,30,42,43,,,,,,,,,,,,,
10,111,Other/Unknown,14.9%,18.5%,20.2%,11,20,18,,,,,,,,,,,,,
10,117,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
10,117,Black,62.2%,52.1%,51.7%,61,76,46,,,,,,,,,,,,,
10,117,White,29.6%,30.1%,30.3%,29,44,27,,,,,,,,,,,,,
10,117,Other/Unknown,8.2%,17.8%,18.0%,8,26,16,,,,,,,,,,,,,
10,147,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
10,147,Black,66.9%,55.3%,58.3%,83,42,28,,,,,,,,,,,,,
10,147,White,28.2%,28.9%,31.3%,35,22,15,,,,,,,,,,,,,
10,147,Other/Unknown,4.8%,15.8%,10.4%,6,12,5,,,,,,,,,,,,,
11,007,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
11,007,Black,33.3%,40.9%,50.0%,13,18,14,,,,,,,,,,,,,
11,007,White,43.6%,43.2%,39.3%,17,19,11,,,,,,,,,,,,,
11,007,Other/Unknown,23.1%,15.9%,10.7%,9,7,3,,,,,,,,,,,,,
11,053,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
11,053,Black,50.6%,46.5%,58.9%,44,40,33,,,,,,,,,,,,,
11,053,White,47.1%,41.9%,33.9%,41,36,19,,,,,,,,,,,,,
11,053,Other/Unknown,2.3%,11.6%,7.1%,2,10,4,,,,,,,,,,,,,
11,135,Asian,1.3%,0.0%,0.0%,1,0,0,,,,,,,,,,,,,
11,135,Black,62.8%,62.7%,60.5%,49,37,23,,,,,,,,,,,,,
11,135,White,28.2%,25.4%,39.5%,22,15,15,,,,,,,,,,,,,
11,135,Other/Unknown,7.7%,11.9%,0.0%,6,7,0,,,,,,,,,,,,,
11,145,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
11,145,Black,8.6%,26.0%,11.7%,7,13,7,,,,,,,,,,,,,
11,145,White,80.2%,70.0%,86.7%,65,35,52,,,,,,,,,,,,,
11,145,Other/Unknown,11.1%,4.0%,1.7%,9,2,1,,,,,,,,,,,,,
11,730,Asian,0.6%,0.7%,0.0%,3,3,0,,,,,,,,,,,,,
11,730,Black,62.7%,58.8%,58.0%,330,264,192,,,,,,,,,,,,,
11,730,White,30.0%,34.1%,34.4%,158,153,114,,,,,,,,,,,,,
11,730,Other/Unknown,6.7%,6.5%,7.6%,35,29,25,,,,,,,,,,,,,
12,041,Asian,1.5%,0.6%,0.9%,30,10,13,,,,,,,,,,,,,
12,041,Black,48.2%,48.0%,33.6%,946,809,478,,,,,,,,,,,,,
12,041,White,46.3%,48.6%,39.3%,909,818,559,,,,,,,,,,,,,
12,041,Other/Unknown,3.9%,2.8%,26.2%,77,47,373,,,,,,,,,,,,,
12,570,Asian,0.0%,0.9%,0.5%,0,2,1,,,,,,,,,,,,,
12,570,Black,50.7%,48.0%,51.4%,105,108,107,,,,,,,,,,,,,
12,570,White,38.6%,39.6%,27.9%,80,89,58,,,,,,,,,,,,,
12,570,Other/Unknown,10.6%,11.6%,20.2%,22,26,42,,,,,,,,,,,,,
13,760,Asian,0.1%,0.1%,0.1%,1,1,1,,,,,,,,,,,,,
13,760,Black,90.4%,88.0%,84.0%,965,945,668,,,,,,,,,,,,,
13,760,White,5.1%,7.2%,11.7%,54,77,93,,,,,,,,,,,,,
13,760,Other/Unknown,4.5%,4.7%,4.2%,48,51,33,,,,,,,,,,,,,
14,087,Asian,1.2%,1.4%,1.6%,16,18,20,,,,,,,,,,,,,
14,087,Black,68.2%,65.1%,60.5%,920,850,749,,,,,,,,,,,,,
14,087,White,25.1%,29.4%,33.8%,339,384,419,,,,,,,,,,,,,
14,087,Other/Unknown,5.4%,4.1%,4.0%,73,54,50,,,,,,,,,,,,,
15,033,Asian,0.0%,0.0%,2.2%,0,0,2,,,,,,,,,,,,,
15,033,Black,24.2%,44.9%,39.6%,30,53,36,,,,,,,,,,,,,
15,033,White,67.7%,49.2%,52.7%,84,58,48,,,,,,,,,,,,,
15,033,Other/Unknown,8.1%,5.9%,5.5%,10,7,5,,,,,,,,,,,,,
15,057,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
15,057,Black,45.2%,53.6%,38.7%,14,30,24,,,,,,,,,,,,,
15,057,White,32.3%,32.1%,53.2%,10,18,33,,,,,,,,,,,,,
15,057,Other/Unknown,22.6%,14.3%,8.1%,7,8,5,,,,,,,,,,,,,
15,085,Asian,0.0%,0.0%,0.6%,0,0,2,,,,,,,,,,,,,
15,085,Black,28.7%,25.9%,24.4%,104,108,76,,,,,,,,,,,,,
15,085,White,64.2%,69.8%,70.4%,233,291,219,,,,,,,,,,,,,
15,085,Other/Unknown,7.2%,4.3%,4.5%,26,18,14,,,,,,,,,,,,,
15,099,Asian,0.0%,1.0%,1.4%,0,1,1,,,,,,,,,,,,,
15,099,Black,34.7%,32.7%,33.8%,42,33,25,,,,,,,,,,,,,
15,099,White,53.7%,60.4%,54.1%,65,61,40,,,,,,,,,,,,,
15,099,Other/Unknown,11.6%,5.9%,10.8%,14,6,8,,,,,,,,,,,,,
15,103,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
15,103,Black,55.9%,42.3%,18.8%,33,22,6,,,,,,,,,,,,,
15,103,White,30.5%,30.8%,28.1%,18,16,9,,,,,,,,,,,,,
15,103,Other/Unknown,13.6%,26.9%,53.1%,8,14,17,,,,,,,,,,,,,
15,133,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
15,133,Black,40.9%,38.5%,60.0%,18,15,24,,,,,,,,,,,,,
