"Juvenile Intake Cases by Race, FY 2018-2020*",,,,,,,,,,,,,,,,,,,,,
CSU,FIPS,RACE,FY18 %,FY19 %,FY20 %,FY18 #,FY19 #,FY20 #,,,,,,,,,,,,,
22,590,White,18.1%,20.9%,21.5%,82,75,70,,,,,,,,,,,,,
22,590,Other/Unknown,6.4%,5.6%,6.2%,29,20,20,,,,,,,,,,,,,
23,161,Asian,0.9%,0.7%,2.3%,6,4,17,,,,,,,,,,,,,
23,161,Black,16.4%,14.7%,19.6%,106,89,146,,,,,,,,,,,,,
23,161,White,61.3%,68.8%,73.2%,396,417,546,,,,,,,,,,,,,
23,161,Other/Unknown,21.4%,15.8%,5.0%,138,96,37,,,,,,,,,,,,,
23,775,Asian,0.0%,0.7%,0.6%,0,1,1,,,,,,,,,,,,,
23,775,Black,20.9%,34.0%,40.8%,45,51,71,,,,,,,,,,,,,
23,775,White,61.4%,52.7%,53.4%,132,79,93,,,,,,,,,,,,,
23,775,Other/Unknown,17.7%,12.7%,5.2%,38,19,9,,,,,,,,,,,,,
23A,770,Asian,0.4%,0.3%,0.5%,3,2,3,,,,,,,,,,,,,
23A,770,Black,61.6%,64.5%,59.2%,473,477,366,,,,,,,,,,,,,
23A,770,White,33.3%,29.1%,32.4%,256,215,200,,,,,,,,,,,,,
23A,770,Other/Unknown,4.7%,6.1%,7.9%,36,45,49,,,,,,,,,,,,,
24,009,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
24,009,Black,30.8%,24.0%,24.2%,49,30,23,,,,,,,,,,,,,
24,009,White,61.0%,58.4%,65.3%,97,73,62,,,,,,,,,,,,,
24,009,Other/Unknown,8.2%,17.6%,10.5%,13,22,10,,,,,,,,,,,,,
24,019,Asian,1.1%,0.3%,0.7%,5,1,2,,,,,,,,,,,,,
24,019,Black,11.1%,13.7%,13.2%,52,53,39,,,,,,,,,,,,,
24,019,White,75.7%,74.7%,78.4%,355,289,232,,,,,,,,,,,,,
24,019,Other/Unknown,12.2%,11.4%,7.8%,57,44,23,,,,,,,,,,,,,
24,031,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
24,031,Black,16.8%,23.4%,23.8%,23,33,29,,,,,,,,,,,,,
24,031,White,67.9%,61.7%,58.2%,93,87,71,,,,,,,,,,,,,
24,031,Other/Unknown,15.3%,14.9%,18.0%,21,21,22,,,,,,,,,,,,,
24,125,Asian,0.0%,0.0%,1.0%,0,0,1,,,,,,,,,,,,,
24,125,Black,17.1%,13.6%,14.4%,14,11,15,,,,,,,,,,,,,
24,125,White,79.3%,86.4%,75.0%,65,70,78,,,,,,,,,,,,,
24,125,Other/Unknown,3.7%,0.0%,9.6%,3,0,10,,,,,,,,,,,,,
24,680,Asian,0.6%,0.4%,0.2%,4,3,1,,,,,,,,,,,,,
24,680,Black,65.2%,69.3%,71.4%,469,494,436,,,,,,,,,,,,,
24,680,White,24.5%,22.3%,21.4%,176,159,131,,,,,,,,,,,,,
24,680,Other/Unknown,9.7%,8.0%,7.0%,70,57,43,,,,,,,,,,,,,
25,005,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
25,005,Black,6.7%,5.4%,6.3%,8,6,5,,,,,,,,,,,,,
25,005,White,60.5%,54.5%,88.6%,72,61,70,,,,,,,,,,,,,
25,005,Other/Unknown,32.8%,40.2%,5.1%,39,45,4,,,,,,,,,,,,,
25,015,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
25,015,Black,5.9%,8.6%,8.8%,17,21,15,,,,,,,,,,,,,
25,015,White,80.7%,73.5%,83.5%,234,180,142,,,,,,,,,,,,,
25,015,Other/Unknown,13.4%,18.0%,7.6%,39,44,13,,,,,,,,,,,,,
25,017,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
25,017,Black,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
25,017,White,100.0%,50.0%,100.0%,4,3,10,,,,,,,,,,,,,
25,017,Other/Unknown,0.0%,50.0%,0.0%,0,3,0,,,,,,,,,,,,,
25,023,Asian,0.0%,0.8%,1.9%,0,1,2,,,,,,,,,,,,,
25,023,Black,4.0%,9.5%,8.7%,5,12,9,,,,,,,,,,,,,
25,023,White,70.2%,76.2%,80.6%,87,96,83,,,,,,,,,,,,,
25,023,Other/Unknown,25.8%,13.5%,8.7%,32,17,9,,,,,,,,,,,,,
25,045,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
25,045,Black,7.4%,0.0%,7.7%,2,0,2,,,,,,,,,,,,,
25,045,White,81.5%,100.0%,92.3%,22,26,24,,,,,,,,,,,,,
25,045,Other/Unknown,11.1%,0.0%,0.0%,3,0,0,,,,,,,,,,,,,
25,091,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
25,091,Black,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
25,091,White,60.0%,46.2%,66.7%,3,6,2,,,,,,,,,,,,,
25,091,Other/Unknown,40.0%,53.8%,33.3%,2,7,1,,,,,,,,,,,,,
25,163,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
25,163,Black,8.9%,6.6%,4.0%,12,8,4,,,,,,,,,,,,,
25,163,White,80.0%,87.7%,86.1%,108,107,87,,,,,,,,,,,,,
25,163,Other/Unknown,11.1%,5.7%,9.9%,15,7,10,,,,,,,,,,,,,
25,530,Asian,0.0%,0.0%,2.3%,0,0,1,,,,,,,,,,,,,
25,530,Black,3.7%,6.1%,4.5%,3,4,2,,,,,,,,,,,,,
25,530,White,93.9%,86.4%,86.4%,77,57,38,,,,,,,,,,,,,
25,530,Other/Unknown,2.4%,7.6%,6.8%,2,5,3,,,,,,,,,,,,,
25,580,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
25,580,Black,16.7%,5.9%,24.2%,9,3,8,,,,,,,,,,,,,
25,580,White,68.5%,72.5%,66.7%,37,37,22,,,,,,,,,,,,,
25,580,Other/Unknown,14.8%,21.6%,9.1%,8,11,3,,,,,,,,,,,,,
25,678,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
25,678,Black,5.9%,0.0%,0.0%,1,0,0,,,,,,,,,,,,,
25,678,White,94.1%,100.0%,90.0%,16,12,9,,,,,,,,,,,,,
25,678,Other/Unknown,0.0%,0.0%,10.0%,0,0,1,,,,,,,,,,,,,
25,790,Asian,0.0%,0.0%,0.7%,0,0,1,,,,,,,,,,,,,
25,790,Black,26.3%,20.8%,25.2%,50,32,34,,,,,,,,,,,,,
25,790,White,57.9%,63.0%,73.3%,110,97,99,,,,,,,,,,,,,
25,790,Other/Unknown,15.8%,16.2%,0.7%,30,25,1,,,,,,,,,,,,,
25,820,Asian,0.0%,0.5%,0.0%,0,1,0,,,,,,,,,,,,,
25,820,Black,17.9%,28.0%,32.9%,40,53,28,,,,,,,,,,,,,
25,820,White,69.5%,59.3%,45.9%,155,112,39,,,,,,,,,,,,,
25,820,Other/Unknown,12.6%,12.2%,21.2%,28,23,18,,,,,,,,,,,,,
26,043,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
26,043,Black,25.0%,13.3%,10.5%,5,4,2,,,,,,,,,,,,,
26,043,White,70.0%,73.3%,89.5%,14,22,17,,,,,,,,,,,,,
26,043,Other/Unknown,5.0%,13.3%,0.0%,1,4,0,,,,,,,,,,,,,
26,069,Asian,0.3%,0.0%,0.0%,1,0,0,,,,,,,,,,,,,
26,069,Black,14.0%,16.2%,16.4%,40,48,33,,,,,,,,,,,,,
26,069,White,75.2%,73.4%,73.6%,215,218,148,,,,,,,,,,,,,
26,069,Other/Unknown,10.5%,10.4%,10.0%,30,31,20,,,,,,,,,,,,,
26,139,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
26,139,Black,1.7%,0.9%,0.0%,3,1,0,,,,,,,,,,,,,
26,139,White,77.6%,83.8%,96.3%,135,93,104,,,,,,,,,,,,,
26,139,Other/Unknown,20.7%,15.3%,3.7%,36,17,4,,,,,,,,,,,,,
26,165,Asian,0.3%,0.0%,0.5%,1,0,1,,,,,,,,,,,,,
26,165,Black,3.5%,7.4%,6.5%,11,18,12,,,,,,,,,,,,,
26,165,White,90.7%,84.3%,82.6%,284,204,152,,,,,,,,,,,,,
26,165,Other/Unknown,5.4%,8.3%,10.3%,17,20,19,,,,,,,,,,,,,
26,171,Asian,0.3%,0.3%,0.0%,1,1,0,,,,,,,,,,,,,
26,171,Black,12.8%,16.9%,10.7%,46,65,41,,,,,,,,,,,,,
26,171,White,68.1%,72.9%,82.8%,245,280,318,,,,,,,,,,,,,
26,171,Other/Unknown,18.9%,9.9%,6.5%,68,38,25,,,,,,,,,,,,,
26,187,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
26,187,Black,12.5%,10.7%,11.5%,26,30,19,,,,,,,,,,,,,
26,187,White,76.9%,79.3%,73.3%,160,222,121,,,,,,,,,,,,,
26,187,Other/Unknown,10.6%,10.0%,15.2%,22,28,25,,,,,,,,,,,,,
26,660,Asian,0.5%,1.3%,2.0%,1,3,3,,,,,,,,,,,,,
26,660,Black,22.7%,17.7%,19.1%,48,41,29,,,,,,,,,,,,,
26,660,White,69.2%,69.3%,65.1%,146,160,99,,,,,,,,,,,,,
26,660,Other/Unknown,7.6%,11.7%,13.8%,16,27,21,,,,,,,,,,,,,
26,840,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
26,840,Black,32.8%,29.6%,31.8%,76,61,50,,,,,,,,,,,,,
26,840,White,45.7%,54.4%,54.8%,106,112,86,,,,,,,,,,,,,
26,840,Other/Unknown,21.6%,16.0%,13.4%,50,33,21,,,,,,,,,,,,,
27,021,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
27,021,Black,16.7%,0.0%,0.0%,1,0,0,,,,,,,,,,,,,
27,021,White,66.7%,94.4%,88.2%,4,34,15,,,,,,,,,,,,,
27,021,Other/Unknown,16.7%,5.6%,11.8%,1,2,2,,,,,,,,,,,,,
27,035,Asian,0.0%,0.6%,0.0%,0,1,0,,,,,,,,,,,,,
27,035,Black,1.2%,3.2%,6.4%,2,5,6,,,,,,,,,,,,,
27,035,White,67.5%,64.7%,87.2%,114,101,82,,,,,,,,,,,,,
27,035,Other/Unknown,31.4%,31.4%,6.4%,53,49,6,,,,,,,,,,,,,
27,063,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
27,063,Black,2.2%,0.0%,0.0%,1,0,0,,,,,,,,,,,,,
27,063,White,97.8%,96.5%,96.1%,45,55,49,,,,,,,,,,,,,
27,063,Other/Unknown,0.0%,3.5%,3.9%,0,2,2,,,,,,,,,,,,,
27,071,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
27,071,Black,0.0%,3.8%,0.0%,0,3,0,,,,,,,,,,,,,
27,071,White,96.1%,82.1%,95.1%,73,64,39,,,,,,,,,,,,,
27,071,Other/Unknown,3.9%,14.1%,4.9%,3,11,2,,,,,,,,,,,,,
27,077,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
27,077,Black,7.4%,11.4%,5.9%,6,4,2,,,,,,,,,,,,,
27,077,White,58.0%,65.7%,91.2%,47,23,31,,,,,,,,,,,,,
27,077,Other/Unknown,34.6%,22.9%,2.9%,28,8,1,,,,,,,,,,,,,
27,121,Asian,0.0%,0.0%,0.5%,0,0,1,,,,,,,,,,,,,
27,121,Black,12.0%,4.7%,6.4%,30,12,13,,,,,,,,,,,,,
27,121,White,82.4%,85.7%,87.7%,206,221,179,,,,,,,,,,,,,
27,121,Other/Unknown,5.6%,9.7%,5.4%,14,25,11,,,,,,,,,,,,,
27,155,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
27,155,Black,18.2%,13.1%,19.0%,36,26,29,,,,,,,,,,,,,
27,155,White,71.7%,75.4%,76.5%,142,150,117,,,,,,,,,,,,,
27,155,Other/Unknown,10.1%,11.6%,4.6%,20,23,7,,,,,,,,,,,,,
27,197,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
27,197,Black,9.3%,12.7%,6.2%,20,21,8,,,,,,,,,,,,,
27,197,White,86.6%,86.7%,87.6%,187,144,113,,,,,,,,,,,,,
27,197,Other/Unknown,4.2%,0.6%,6.2%,9,1,8,,,,,,,,,,,,,
27,640,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
27,640,Black,16.7%,28.6%,10.8%,15,20,4,,,,,,,,,,,,,
27,640,White,40.0%,47.1%,70.3%,36,33,26,,,,,,,,,,,,,
27,640,Other/Unknown,43.3%,24.3%,18.9%,39,17,7,,,,,,,,,,,,,
27,750,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
27,750,Black,17.6%,18.1%,30.3%,15,13,10,,,,,,,,,,,,,
27,750,White,76.5%,73.6%,57.6%,65,53,19,,,,,,,,,,,,,
27,750,Other/Unknown,5.9%,8.3%,12.1%,5,6,4,,,,,,,,,,,,,
28,173,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
28,173,Black,11.6%,1.9%,22.2%,18,3,26,,,,,,,,,,,,,
28,173,White,84.5%,95.5%,76.9%,131,147,90,,,,,,,,,,,,,
28,173,Other/Unknown,3.9%,2.6%,0.9%,6,4,1,,,,,,,,,,,,,
28,191,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
28,191,Black,2.1%,0.7%,0.9%,4,1,1,,,,,,,,,,,,,
28,191,White,90.1%,85.3%,87.0%,173,122,100,,,,,,,,,,,,,
28,191,Other/Unknown,7.8%,14.0%,12.2%,15,20,14,,,,,,,,,,,,,
28,520,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
28,520,Black,10.3%,16.4%,8.6%,11,21,9,,,,,,,,,,,,,
28,520,White,71.0%,73.4%,86.7%,76,94,91,,,,,,,,,,,,,
28,520,Other/Unknown,18.7%,10.2%,4.8%,20,13,5,,,,,,,,,,,,,
29,027,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
29,027,Black,2.5%,2.3%,0.0%,3,3,0,,,,,,,,,,,,,
29,027,White,90.8%,94.7%,96.3%,108,126,78,,,,,,,,,,,,,
29,027,Other/Unknown,6.7%,3.0%,3.7%,8,4,3,,,,,,,,,,,,,
29,051,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
29,051,Black,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
29,051,White,84.7%,69.3%,91.4%,100,70,117,,,,,,,,,,,,,
29,051,Other/Unknown,15.3%,30.7%,8.6%,18,31,11,,,,,,,,,,,,,
29,167,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
29,167,Black,2.3%,2.2%,2.1%,3,2,2,,,,,,,,,,,,,
29,167,White,95.5%,92.4%,95.9%,126,85,93,,,,,,,,,,,,,
29,167,Other/Unknown,2.3%,5.4%,2.1%,3,5,2,,,,,,,,,,,,,
29,185,Asian,0.0%,0.0%,0.5%,0,0,1,,,,,,,,,,,,,
29,185,Black,9.6%,8.6%,8.8%,23,17,16,,,,,,,,,,,,,
29,185,White,85.8%,86.4%,84.1%,206,171,153,,,,,,,,,,,,,
29,185,Other/Unknown,4.6%,5.1%,6.6%,11,10,12,,,,,,,,,,,,,
30,105,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
30,105,Black,1.0%,0.5%,1.0%,2,1,1,,,,,,,,,,,,,
30,105,White,91.7%,88.0%,98.0%,176,176,100,,,,,,,,,,,,,
30,105,Other/Unknown,7.3%,11.5%,1.0%,14,23,1,,,,,,,,,,,,,
30,169,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
30,169,Black,4.2%,4.8%,3.9%,5,6,3,,,,,,,,,,,,,
30,169,White,80.0%,78.2%,84.4%,96,97,65,,,,,,,,,,,,,
30,169,Other/Unknown,15.8%,16.9%,11.7%,19,21,9,,,,,,,,,,,,,
30,195,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
30,195,Black,3.3%,2.5%,5.0%,9,6,12,,,,,,,,,,,,,
30,195,White,85.7%,90.8%,85.0%,233,216,204,,,,,,,,,,,,,
30,195,Other/Unknown,11.0%,6.7%,10.0%,30,16,24,,,,,,,,,,,,,
30,720,Asian,0.0%,0.0%,0.0%,0,0,0,,,,,,,,,,,,,
30,720,Black,8.7%,6.5%,2.8%,4,3,1,,,,,,,,,,,,,
30,720,White,84.8%,84.8%,80.6%,39,39,29,,,,,,,,,,,,,
30,720,Other/Unknown,6.5%,8.7%,16.7%,3,4,6,,,,,,,,,,,,,
31,153,Asian,2.4%,1.6%,1.6%,49,35,30,,,,,,,,,,,,,
31,153,Black,36.8%,38.2%,38.1%,751,814,695,,,,,,,,,,,,,
31,153,White,38.9%,39.4%,43.7%,793,838,798,,,,,,,,,,,,,
31,153,Other/Unknown,21.9%,20.8%,16.5%,447,442,302,,,,,,,,,,,,,
31,683,Asian,0.7%,0.9%,0.0%,2,3,0,,,,,,,,,,,,,
31,683,Black,28.1%,18.5%,18.1%,78,62,55,,,,,,,,,,,,,
31,683,White,56.1%,64.3%,65.5%,156,216,199,,,,,,,,,,,,,
31,683,Other/Unknown,15.1%,16.4%,16.4%,42,55,50,,,,,,,,,,,,,
31,685,Asian,6.4%,5.3%,1.1%,5,4,1,,,,,,,,,,,,,
31,685,Black,7.7%,9.2%,15.9%,6,7,14,,,,,,,,,,,,,
31,685,White,70.5%,71.1%,72.7%,55,54,64,,,,,,,,,,,,,
31,685,Other/Unknown,15.4%,14.5%,10.2%,12,11,9,,,,,,,,,,,,,
